sample_name,total_reads,log_total_reads,estimated_biomass_per_pcrrxn,estimated_biomass_per_dnarxn,extraction_mass_g,estimated_cells_per_g,log_estimated_cells_per_g
13414.29.gill,13206.0,4.1207712929369915,2553.132513480353,30637.590161764234,0.173,177095.89688881062,5.248208499195772
13414.29.hg,3678.0,3.5656117249020585,29.089529932554,349.074359190648,0.04,8726.8589797662,3.9408579581135985
13414.29.midgut,6642.0,3.8222988712623662,230.28748122462585,2763.4497746955103,0.0442,62521.488115283035,4.7960293064003245
13414.3.gill,37158.0,4.570052330393215,95451.355749668,1145416.2689960161,0.519,2206967.762998104,6.343795989503165
13414.3.hg,24310.0,4.3857849588433355,21614.936948975796,259379.24338770955,0.082,3163161.504728165,6.500121366693337
13414.3.midgut,12630.0,4.101403350555331,2184.1167705537346,26209.401246644815,0.0516,507934.132686915,5.705807397982174
13414.3.skin,5040.0,3.7024305364455254,87.6336896796453,1051.6042761557437,0.173,6078.637434426265,3.7838062402879067
13414.30.gill,22295.0,4.3482074766856265,15966.655580145753,191599.86696174904,0.425,450823.216380586,5.654006273137943
13414.30.hg,8700.0,3.9395192526186187,592.3800146737833,7108.5601760854,0.053,134123.7769072717,5.127505774602379
13414.30.midgut,3964.0,3.598133645813238,37.807653302601416,453.691839631217,0.05,9073.836792624339,3.9577909635237716
13414.30.skin,11034.0,4.0427329796217215,1361.1317304224117,16333.58076506894,0.15,108890.53843379294,5.036990145279098
13414.31.gill,2684.0,3.4287825114969546,9.655302787788836,115.86363345346604,0.543,213.37685718870355,2.329147314149952
13414.31.hg,1784.0,3.2513948500401044,2.3111077921977854,27.733293506373425,0.1496,185.38297798377957,2.2680698543656477
13414.31.midgut,10706.0,4.029627239047413,1224.6824648225033,14696.18957787004,0.2386,61593.41818051148,4.789534306310449
13414.31.skin,9796.0,3.9910487764526765,897.3865387992073,10768.638465590488,0.08,134607.98081988108,5.129070809689475
13414.32.gill,22919.0,4.360195664606159,17586.46781541398,211037.61378496775,0.2456,859273.671762898,5.934131505167011
13414.32.hg,1728.0,3.2375437381428744,2.0669709363200384,24.803651235840462,0.1965,126.22723275236876,2.101153061391348
13414.32.midgut,4103.0,3.6131015169669127,42.655473826365096,511.86568591638115,0.0533,9603.483788299834,3.98242880757844
13414.33.gill,51847.0,4.714723632062783,306340.3084026658,3676083.7008319893,0.01,367608370.0831989,8.565385391287421
13414.33.hg,70226.0,4.846497932158269,886094.8686470137,10633138.423764164,0.0215,494564577.849496,8.694223007707853
13414.33.midgut,35736.0,4.553105939463782,83264.76142025294,999177.1370430352,0.0148,67511968.719124,7.829380772651618
13414.33.skin,32479.0,4.51160264922777,59590.76089095767,715089.130691492,0.009,79454347.85461023,7.900117667403695
13414.34.gill,20931.0,4.320789977698806,12800.854848319452,153610.2581798334,0.019,8084750.430517549,6.907666618141992
13414.34.hg,52243.0,4.718028107892527,314609.23475636437,3775310.8170763724,0.076,49675142.32995227,7.696139120130606
13414.34.midgut,63301.0,4.8014105708554515,616100.9320825435,7393211.1849905215,0.0155,476981366.77358204,8.67850141370369
13414.34.skin,5648.0,3.7518946880437474,130.56308768587368,1566.757052230484,0.076,20615.22437145374,4.3141880659263165
13414.35.gill,1169.0,3.0678145111618402,0.5262559657938697,6.315071589526436,0.55,11.481948344593519,1.0600155887161975
13414.35.hg,25866.0,4.412729273237532,26857.932249245165,322295.186990942,0.0945,3410531.0792692276,6.532822011496144
13414.35.skin,17404.0,4.24064907462068,6709.739469087774,80516.87362905328,0.22,365985.78922296944,5.563464222602429
13414.36.gill,1929.0,3.2853322276438846,3.038211672425748,36.45854006910898,0.12,303.8211672425748,2.4826180279086234
13414.36.hg,10069.0,4.002986340856785,988.0228927218958,11856.27471266275,0.0921,128732.62445887893,5.109688623259874
13414.36.midgut,12565.0,4.099162492928595,2145.0218927123688,25740.262712548425,0.0695,370363.4922668838,5.568628170535669
13414.37.gill,14731.0,4.16823222951342,3742.9188798970367,44915.02655876444,0.521,86209.26402833866,4.935553937520856
13414.37.hg,26886.0,4.429526194296687,30751.77679892246,369021.32158706954,0.0496,7439945.999739305,6.871569783381853
13414.37.midgut,4228.0,3.6261349786353887,47.380366617376254,568.5643994085151,0.0734,7746.108983767235,3.8890836029929203
13414.37.skin,1522.0,3.182414652434554,1.325424357583015,15.90509229099618,0.283,56.20173954415612,1.7497497579665036
13414.38.gill,7081.0,3.8500945943867007,288.11726783537983,3457.407214024558,0.471,7340.567333385474,3.8657296267058596
13414.38.hg,23910.0,4.378579576115775,20395.366936981944,244744.40324378334,0.0704,3476483.0006219223,6.541140110104736
13414.39.gill,32144.0,4.507099919404174,57466.8140118184,689601.7681418208,0.294,2345584.245380343,6.3702510359387965
13414.39.hg,9129.0,3.9604232070778296,701.0915177390418,8413.098212868503,0.053,158737.7021295944,5.200680089213535
13414.39.midgut,17885.0,4.2524889444849885,7381.610652042692,88579.32782451231,0.0176,5032916.353665472,6.701819712546277
13414.39.skin,8005.0,3.9033613362553186,442.61851199753954,5311.422143970474,0.084,63231.2159996485,4.800931533811626
13414.4.gill,18695.0,4.271725469490239,8619.629729067392,103435.55674880871,0.306,338024.6952575448,5.528948429929429
13414.4.hg,1952.0,3.290479813330673,3.1669204688181867,38.00304562581824,0.105,361.9337678649356,2.5586291040069717
13414.4.midgut,22294.0,4.34818799679229,15964.148822554203,191569.78587065043,0.1103,1736806.7621999134,6.239751501360914
13414.4.skin,1363.0,3.1344958558346736,0.9007725632019667,10.809270758423601,0.11,98.26609780385091,1.992403710342213
13414.40.gill,4226.0,3.6259294927162946,47.301957460617174,567.623489527406,0.099,5733.57060128693,3.758425164635128
13414.40.hg,4617.0,3.664359874551141,64.47698262590782,773.7237915108939,0.0516,14994.647122304144,4.175936249712794
13414.40.midgut,13711.0,4.137069130839408,2911.5480047791725,34938.576057350074,0.0467,748149.3802430423,5.873988320509046
13414.40.skin,10394.0,4.01678271248684,1104.2342686264237,13250.811223517085,0.046,288061.11355471925,5.459484635203518
13414.41.gill,28861.0,4.460311374815615,39412.4806622785,472949.767947342,0.336,1407588.595081375,6.14847573932734
13414.41.midgut,24705.0,4.392784858225435,22869.52414627307,274434.28975527687,0.0567,4840110.930428163,6.684855315347046
13414.41.skin,3894.0,3.590395947184013,35.52171288283017,426.26055459396207,0.196,2174.798747928378,3.3374190742984275
13414.42.gill,61334.0,4.787701288856414,551648.5865359678,6619783.038431613,0.263,25170277.71266773,7.400888007300996
13414.42.hg,56799.0,4.754340689614101,421583.5892008596,5059003.070410315,0.0712,71053413.91025724,7.851584949353812
13414.42.midgut,25988.0,4.414772858093331,27303.991803558754,327647.9016427051,0.0909,3604487.366806437,6.556843507724509
13414.42.skin,18007.0,4.255441364570166,7559.378374870035,90712.54049844042,0.054,1679861.86108223,6.225273570156615
13414.43.gill,6390.0,3.8055008581584002,201.12630134721775,2413.5156161666127,0.035,68957.58903333178,4.838582068828487
13414.43.hg,7118.0,3.8523579836678272,293.4217374365632,3521.0608492387582,0.0203,173451.2733615152,5.239177492485081
13414.43.midgut,17176.0,4.234922031428193,6407.050345949008,76884.6041513881,0.0377,2039379.4204612232,6.309498032488903
13414.43.skin,23231.0,4.366067904812481,18438.874339398295,221266.49207277954,0.064,3457288.9386371803,6.538735676682119
13414.44.gill,1168.0,3.0674428427763805,0.5246818082163796,6.296181698596555,0.252,24.98484801030379,1.397676711853965
13414.44.midgut,10646.0,4.027186461836736,1200.8245451140394,14409.894541368474,0.1318,109331.52155818266,5.038745392188939
13414.44.skin,2195.0,3.34143452457814,4.775338669941353,57.304064039296236,0.068,842.7068241072975,2.9256765107838767
13414.45.gill,21675.0,4.335959106148248,14465.668990561875,173588.0278867425,0.166,1045711.0113659186,6.019411681175886
13414.45.hg,51342.0,4.710472782372936,296022.0360697157,3552264.4328365885,0.0201,176729573.7729646,8.247309230048465
13414.45.midgut,19843.0,4.29760733238224,10619.109490075747,127429.31388090897,0.0876,1454672.5328870888,6.162765238568334
13414.45.skin,15710.0,4.196176185039973,4688.438899001437,56261.26678801724,0.037,1520574.77805452,6.182007782518886
13414.46.gill,4707.0,3.672744198306599,68.98490005605392,827.8188006726471,0.524,1579.8068715126851,3.198603998496897
13414.46.hg,1218.0,3.0856472882968564,0.6076040882130425,7.2912490585565095,0.0549,132.80963676787815,2.123229588912034
13414.46.midgut,4278.0,3.631240780235509,49.37092689000261,592.4511226800313,0.0481,12317.071157589009,4.0905074504164105
13414.46.skin,8106.0,3.908806599405674,462.47762193032685,5549.731463163922,0.142,39082.6159377741,4.591983624885995
13414.47.gill,12515.0,4.097430853944242,2115.2910165384387,25383.492198461267,0.519,48908.46281013732,4.689384013187954
13414.47.hg,1862.0,3.269979676645324,2.6845803496963994,32.21496419635679,0.072,447.4300582827332,2.650725156577394
13414.47.midgut,8819.0,3.945419342603063,621.2317868418525,7454.781442102229,0.0861,86582.82743440452,4.93743176395704
13414.47.skin,9366.0,3.971554153446061,766.8997607055516,9202.797128466618,0.061,150865.52669617409,5.178590013294331
13414.48.gill,42266.0,4.625991148701336,149829.03891799477,1797948.4670159372,0.481,3737938.6008647345,6.572632163408613
13414.48.midgut,5618.0,3.749581734865559,128.15156586188098,1537.818790342572,0.1527,10070.849969499488,4.003066126113258
13414.48.skin,45734.0,4.660239187428279,197460.98058949644,2369531.7670739572,0.061,38844783.066786185,7.5893327004228155
13414.49.gill,76456.0,4.8834115730007,1193153.8865483978,14317846.638580773,0.283,50593097.66282959,7.704091270764341
13414.49.hg,23709.0,4.374913236658887,19801.473005925927,237617.6760711111,0.0369,6439503.416561277,6.808852377955699
13414.49.midgut,52941.0,4.7237921404103655,329570.6042610011,3954847.2511320133,0.0771,51295035.68264609,7.710075336262748
13414.49.skin,18964.0,4.277929946646919,9061.652198081769,108739.82637698122,0.132,823786.5634619789,5.915814704029833
13414.5.gill,55465.0,4.744019017324979,387929.37990367797,4655152.558844136,0.401,11608859.24898787,7.064789545646374
13414.5.hg,12588.0,4.099956734241183,2158.7978239577146,25905.573887492574,0.084,308399.68913681636,5.489113931615517
13414.5.midgut,13672.0,4.135832049712681,2882.660858880366,34591.93030656439,0.1248,277178.92873849673,5.4427602119411205
13414.5.skin,1737.0,3.2397998184470986,2.104901519069342,25.258818228832105,0.097,260.4001879261042,2.4156412933187372
13414.50.gill,4818.0,3.6828667956623247,74.84937911090636,898.1925493308763,0.415,2164.319395978015,3.3353213514785227
13414.50.hg,42619.0,4.62960325533649,154255.3291587926,1851063.949905511,0.061,30345310.654188704,7.482091587854146
13414.50.midgut,26978.0,4.431009750333691,31121.706543491735,373460.47852190083,0.1245,2999682.558408842,6.477075297911064
13414.51.gill,51698.0,4.713473742208743,303269.6181843338,3639235.4182120054,0.317,11480237.912340712,7.059950888318585
13414.51.hg,6262.0,3.7967130632808965,187.37307405100282,2248.4768886120337,0.0562,40008.4855624917,4.602152112381221
13414.51.midgut,17891.0,4.252634615712395,7390.282782478274,88683.3933897393,0.0556,1595025.0609665343,6.202767511063403
13414.51.skin,41962.0,4.6228561794324845,146090.51851302566,1753086.222156308,0.139,12612131.094649697,7.100788476299391
13414.52.gill,3755.0,3.5746099413401873,31.277711503051076,375.3325380366129,0.525,714.9191200697388,2.8542569121587764
13414.52.hg,2275.0,3.3569814009931314,5.412850530370999,64.95420636445199,0.0509,1276.1140739577995,3.1058894984259178
13414.52.midgut,5338.0,3.727378569451489,107.15235321495179,1285.8282385794214,0.1511,8509.783180538858,3.9299184949030224
13414.52.skin,2428.0,3.38524868240322,6.797914266536458,81.5749711984375,0.086,948.5461767260175,2.9770584778806186
13414.53.gill,51944.0,4.7155353898647,308351.2435843011,3700214.923011613,0.059,62715507.16968836,7.797374938686243
13414.53.hg,6491.0,3.812311609131124,212.47601281876936,2549.7121538252322,0.0728,35023.51859650044,4.544359774822295
13414.53.midgut,16708.0,4.222924466593083,5816.485480287201,69797.82576344642,0.0667,1046444.1643695117,6.019716060430903
13414.53.skin,7411.0,3.8698768132667665,337.9223882016719,4055.0686584200625,0.066,61440.434218485796,4.788454276327263
13414.54.gill,36513.0,4.562447517143651,89776.24664484331,1077314.9597381197,0.47,2292159.4888045103,6.360244832622547
13414.54.hg,12544.0,4.098436045340363,2132.49881510743,25589.985781289157,0.1134,225661.2502759185,5.353456990020827
13414.54.midgut,16753.0,4.224092588494267,5871.508044566324,70458.09653479588,0.1325,531759.2191305349,5.7257150280205815
13414.54.skin,4592.0,3.662001879389917,63.263110411383096,759.1573249365972,0.116,6544.459697729286,3.8158737975665793
13414.55.gill,38811.0,4.5889548328685095,111160.45893688456,1333925.5072426149,0.22,6063297.760193704,6.782708896361925
13414.55.hg,42910.0,4.632558514532672,157973.79988545677,1895685.5986254811,0.0714,26550218.468143992,7.4240680990189585
13414.55.midgut,38503.0,4.585494569318544,108102.98222036797,1297235.7866444155,0.1375,9434442.084686657,6.974716222815086
13414.58.gill,9595.0,3.9820449790714902,834.5680383463929,10014.816460156715,0.558,17947.699749384792,4.254008795523613
13414.58.hg,21412.0,4.330657234711394,13860.513386256118,166326.1606350734,0.1185,1403596.2922791005,6.14724221231848
13414.58.midgut,8487.0,3.9287542021766533,543.146928248825,6517.7631389859,0.1169,55755.03112904961,4.746284062625996
13414.59.gill,15025.0,4.176814480674778,4010.9993722021077,48131.99246642529,0.296,162608.0826568422,5.21114212899497
13414.59.hg,4991.0,3.698187569866122,84.68735878733297,1016.2483054479956,0.1128,9009.293488014146,3.954690734787324
13414.59.midgut,21331.0,4.329011215707369,13677.837045889817,164134.04455067782,0.1518,1081251.940386547,6.033926899847127
13414.59.skin,2021.0,3.305566313515304,3.5764113693274315,42.91693643192918,0.017,2524.5256724664223,3.4021797914917205
13414.6.gill,4138.0,3.616790486329716,43.94282887093385,527.3139464512062,0.309,1706.5176260556836,3.2321107783217706
13414.6.hg,20623.0,4.314351841775663,12153.52535785839,145842.30429430067,0.069,2113656.583975372,6.325034426774678
13414.6.midgut,11016.0,4.042023927248867,1353.3749062679105,16240.498875214926,0.145,112003.44051872363,5.049231363521494
13414.6.skin,1684.0,3.226342087163631,1.8885260465716653,22.662312558859984,0.167,135.70247041233523,2.132587753899084
13414.60.gill,31527.0,4.498682646757017,53697.299927967666,644367.599135612,0.111,5805113.505726234,6.763810715793566
13414.60.hg,21162.0,4.325556710051133,13302.244457432407,159626.9334891889,0.0214,7459202.499494809,6.8726923973677
13414.60.midgut,9451.0,3.9754777631658746,791.5406117546436,9498.487341055723,0.0239,397426.2485797373,5.599256547315512
13414.60.skin,6287.0,3.7984434603501875,190.0047414634079,2280.056897560895,0.043,53024.57901304407,4.724477229135083
13414.61.gill,6396.0,3.805908455074197,201.78815085422937,2421.4578102507526,0.041,59059.94659148177,4.771293049892263
13414.61.hg,12078.0,4.081995025272298,1867.8284686874847,22413.941624249816,0.0013,17241493.557115242,7.236574884198562
